date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:50	13834/13834	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Oct%202023%2020:18:50%20GMT	https://www.dinoreps.com/robots.txt		(from )
23:18:50	111752/111752	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:50%20GMT	https://www.dinoreps.com/	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/index.html	(from )
23:18:51	297036/297036	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://www.dinoreps.com/)
23:18:51	18377/18377	---M--	200	added ('OK')	text/javascript	etag:%22713929e02727c7f6%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/apis.google.com/js/clientc932.js	(from https://www.dinoreps.com/)
23:18:52	111803/111803	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:52%20GMT	https://www.dinoreps.com/home	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/home.html	(from https://www.dinoreps.com/)
23:18:52	370500/370500	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:52%20GMT	https://www.dinoreps.com/shoes	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/shoes.html	(from https://www.dinoreps.com/)
23:18:52	439248/439248	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:52%20GMT	https://www.dinoreps.com/clothes/hoodiessweaters	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/hoodiessweaters.html	(from https://www.dinoreps.com/)
23:18:53	231107/231107	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:53%20GMT	https://www.dinoreps.com/clothes/pants	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/pants.html	(from https://www.dinoreps.com/)
23:18:53	448679/448679	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:53%20GMT	https://www.dinoreps.com/clothes/t-shirts	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/t-shirts.html	(from https://www.dinoreps.com/)
23:18:54	184857/184857	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:54%20GMT	https://www.dinoreps.com/clothes/shorts	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/shorts.html	(from https://www.dinoreps.com/)
23:18:54	346779/346779	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:54%20GMT	https://www.dinoreps.com/clothes/jacketsvests	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/jacketsvests.html	(from https://www.dinoreps.com/)
23:18:54	254361/254361	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:54%20GMT	https://www.dinoreps.com/clothes/tracksuits	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/tracksuits.html	(from https://www.dinoreps.com/)
23:18:55	182172/182172	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:55%20GMT	https://www.dinoreps.com/clothes/jerseys	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/jerseys.html	(from https://www.dinoreps.com/)
23:18:55	125068/125068	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:55%20GMT	https://www.dinoreps.com/clothes/glovesscarfs	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/glovesscarfs.html	(from https://www.dinoreps.com/)
23:18:56	150472/150472	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:56%20GMT	https://www.dinoreps.com/clothes/underwearsocks	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/underwearsocks.html	(from https://www.dinoreps.com/)
23:18:56	130967/130967	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2020:18:56%20GMT	https://www.dinoreps.com/clothes/suits	C:/Users/matei/Desktop/Folder%20nou%20(2)/Custyx/www.dinoreps.com/clothes/suits.html	(from https://www.dinoreps.com/)
